Datetime,PM2.5
2019-12-15 00:00:00,61.71
2015-12-22 17:00:00,28.84
2017-05-15 03:00:00,16.38
2018-02-27 20:00:00,51.54
2015-08-28 03:00:00,39.0
2015-07-20 12:00:00,16.0
2016-11-10 17:00:00,86.5
2015-08-22 01:00:00,28.0
2020-04-11 10:00:00,21.17
2017-01-07 19:00:00,39.0
2016-02-29 21:00:00,39.25
2016-04-14 13:00:00,52.0
2017-04-20 17:00:00,27.0
2020-02-14 20:00:00,67.58
2018-03-17 14:00:00,36.71
2020-03-21 03:00:00,35.8
2018-09-07 01:00:00,45.25
2016-02-26 13:00:00,66.62
2018-06-20 15:00:00,5.55
2016-05-31 20:00:00,37.0
2017-06-02 23:00:00,13.25
2018-02-15 19:00:00,45.08
2019-02-14 22:00:00,58.25
2017-03-13 13:00:00,46.0
2015-11-23 16:00:00,32.58
2016-12-22 21:00:00,56.0
2018-08-26 22:00:00,17.85
2017-05-13 07:00:00,31.0
2019-05-31 00:00:00,42.7
2019-01-19 23:00:00,82.83
2019-03-31 02:00:00,61.85
2016-01-22 06:00:00,39.25
2015-09-21 04:00:00,41.0
2017-11-30 07:00:00,62.79
2015-12-23 01:00:00,32.58
2017-03-15 18:00:00,28.0
2016-06-06 13:00:00,48.0
2019-11-25 19:00:00,84.71
2019-01-30 16:00:00,36.25
2016-10-27 03:00:00,61.75
2018-06-01 08:00:00,41.44
2017-06-22 04:00:00,8.08
2016-05-13 19:00:00,53.38
2020-01-12 04:00:00,79.35
2018-12-10 05:00:00,80.55
2019-02-10 19:00:00,58.44
2020-04-07 04:00:00,15.92
2015-06-05 07:00:00,29.0
2020-06-19 17:00:00,20.58
2017-09-20 14:00:00,9.33
2017-01-30 06:00:00,66.75
2020-04-08 02:00:00,11.92
2018-06-09 23:00:00,20.08
2015-04-14 10:00:00,27.0
2017-01-27 01:00:00,63.0
2019-09-26 19:00:00,17.38
2019-05-02 06:00:00,38.6
2020-05-01 04:00:00,31.1
2015-12-28 22:00:00,76.12
2018-12-22 19:00:00,67.67
2016-01-06 04:00:00,104.62
2019-11-02 10:00:00,27.88
2015-07-23 21:00:00,44.0
2017-11-20 14:00:00,31.75
2019-05-10 06:00:00,43.0
2020-04-07 10:00:00,20.81
2018-09-03 09:00:00,12.7
2019-08-28 19:00:00,18.44
2018-06-29 19:00:00,24.29
2019-04-05 14:00:00,32.42
2017-03-20 20:00:00,49.88
2015-10-11 13:00:00,42.5
2018-10-10 19:00:00,48.35
2016-10-26 23:00:00,69.5
2018-02-23 04:00:00,60.33
2016-09-06 14:00:00,14.0
2015-10-13 02:00:00,70.5
2018-08-10 07:00:00,18.5
2016-01-12 07:00:00,157.12
2020-03-04 01:00:00,54.17
2017-03-27 07:00:00,70.5
2016-02-28 20:00:00,37.75
2018-04-29 04:00:00,40.12
2016-08-06 08:00:00,4.03
2017-11-12 10:00:00,75.29
2017-08-10 14:00:00,13.08
2018-07-22 06:00:00,14.81
2016-06-24 01:00:00,17.0
2018-02-04 17:00:00,30.25
2017-02-04 00:00:00,76.5
2018-01-22 03:00:00,82.04
2015-05-23 13:00:00,58.0
2015-12-06 20:00:00,63.0
2019-09-01 06:00:00,10.5
2018-11-06 20:00:00,50.42
2019-06-05 19:00:00,35.55
2019-12-17 22:00:00,95.62
2018-08-25 15:00:00,12.55
2018-12-13 05:00:00,71.17
2017-12-19 22:00:00,77.88
2019-05-25 18:00:00,40.04
2018-02-06 05:00:00,53.21
2017-05-30 13:00:00,15.12
2016-02-20 14:00:00,42.12
2017-06-23 17:00:00,11.58
2020-02-08 17:00:00,40.12
2015-12-21 02:00:00,25.25
2018-05-21 15:00:00,56.46
2017-10-29 11:00:00,60.75
2020-04-08 19:00:00,24.75
2016-05-12 13:00:00,40.5
2017-06-01 23:00:00,12.0
2017-11-29 11:00:00,67.79
2018-04-10 23:00:00,42.65
2016-09-03 20:00:00,17.5
2018-05-05 05:00:00,24.17
2018-04-04 19:00:00,43.65
2018-08-31 02:00:00,28.55
2015-05-26 21:00:00,82.0
2018-03-28 07:00:00,56.33
2017-02-22 02:00:00,67.75
2018-09-25 17:00:00,40.12
2016-05-02 11:00:00,53.0
2016-02-21 02:00:00,535.0
2019-12-22 14:00:00,66.5
2017-07-29 14:00:00,14.67
2017-03-23 06:00:00,66.88
2017-02-25 03:00:00,95.38
2018-06-05 20:00:00,41.88
2018-06-27 02:00:00,17.5
2019-11-06 19:00:00,72.58
2018-07-16 14:00:00,10.8
2016-12-11 21:00:00,56.0
2020-04-13 02:00:00,28.62
2017-11-16 17:00:00,30.04
2017-04-19 06:00:00,78.12
2019-03-11 22:00:00,48.12
2019-08-14 17:00:00,18.29
2015-06-24 09:00:00,995.0
2018-05-31 10:00:00,31.21
2015-10-27 08:00:00,69.5
2020-02-20 03:00:00,46.0
2015-08-10 11:00:00,21.0
2017-04-05 19:00:00,40.0
2015-08-12 01:00:00,16.0
2019-01-05 20:00:00,76.04
2020-06-04 02:00:00,8.5
2020-05-13 10:00:00,19.75
2019-09-16 19:00:00,33.25
2019-02-12 01:00:00,73.5
2020-05-08 04:00:00,18.1
2018-08-14 09:00:00,8.31
2019-06-26 12:00:00,17.1
2016-02-10 06:00:00,55.75
2019-06-04 13:00:00,21.45
2018-02-14 01:00:00,57.54
2016-11-29 15:00:00,20.75
2015-07-04 01:00:00,48.0
2015-10-16 10:00:00,167.62
2018-07-07 06:00:00,21.7
2017-10-13 10:00:00,24.0
2018-07-17 01:00:00,14.0
2018-08-28 19:00:00,17.7
2015-05-17 18:00:00,32.0
2018-01-24 06:00:00,63.58
2016-03-19 11:00:00,58.0
2018-05-26 15:00:00,29.88
2018-01-04 17:00:00,68.35
